time,open,high,low,close,MA 9,MA 21,EMA 55,EMA 125,EMA 200,EMA 350
1/28/1999,1266,1266.5,1266,1266.5,1068.6264285714285,1123.9725,1155.2591677415235,1205.419095426163,1245.3028940340182,1253.9249372214417
1/29/1999,1266,1288.5,1259.25,1281.25,1069.6185714285714,1124.7375,1157.2590222218168,1208.1273420180858,1248.5708127581984,1259.3899497771533
2/1/1999,1274.25,1274.75,1274.25,1274.75,1070.6457142857143,1125.53375,1159.1239583770262,1210.5067226602969,1250.9507388710895,1262.4619598217228
2/2/1999,1264.75,1265.25,1264.75,1264.75,1071.6635714285715,1126.205,1160.8005622123114,1212.4439825652862,1252.2052171555358,1262.9195678573783
2/3/1999,1278.75,1279.25,1278.75,1278.75,1072.6771428571428,1126.95375,1162.6727755105287,1214.812054616526,1254.6183792323052,1266.0856542859026
2/4/1999,1258,1258,1257.5,1257.5,1073.6085714285714,1127.56375,1164.177969550044,1216.3366240945072,1254.880344756641,1264.368523428722
2/5/1999,1257.75,1261.25,1235.75,1243.75,1074.4307142857142,1128.1,1165.4410176524243,1217.3156732339892,1253.8684952333101,1260.2448187429777
2/8/1999,1247.75,1247.75,1247.5,1247.5,1075.2635714285714,1128.705,1166.743541181751,1218.3936849042038,1253.289541121191,1257.6958549943822
2/9/1999,1217.75,1218.25,1217.5,1218,1076.0071428571428,1129.23125,1167.5571357661677,1218.3796247290536,1250.0814010192646,1249.7566839955057
2/10/1999,1226,1226.5,1225.75,1225.75,1076.765,1129.8925,1168.4808320238476,1218.6428524173016,1247.8694554720587,1244.9553471964045
2/11/1999,1262.75,1262.75,1262,1262,1077.61,1130.7475,1169.9652632615644,1220.1913219738265,1249.1540504291443,1248.3642777571235
2/12/1999,1262,1266,1227.75,1237.75,1078.3978571428572,1131.4525,1171.0412114637618,1220.8184176176185,1248.1173185719492,1246.2414222056989
2/16/1999,1239.25,1240,1239.25,1240,1079.2135714285714,1132.05625,1172.1357954087814,1221.503474131275,1247.3793805199539,1244.9931377645592
2/17/1999,1228.75,1229,1228.25,1229,1080.0207142857143,1132.55375,1173.0384018308641,1221.7712071980152,1245.7085277454125,1241.7945102116473
2/18/1999,1238.75,1239,1238.75,1239,1080.837142857143,1133.10875,1174.0854113256123,1222.3865212266576,1245.0986615867387,1241.2356081693179
2/19/1999,1238.25,1252.25,1234,1244,1081.6435714285715,1133.72875,1175.1951667013961,1223.1584311828483,1244.9987832606714,1241.7884865354542
2/22/1999,1274.5,1274.5,1274.25,1274.25,1082.557142857143,1134.56625,1176.7674656426439,1224.983130069175,1247.6579847824285,1248.2807892283633
2/23/1999,1276,1276,1275.75,1275.75,1083.4492857142857,1135.45375,1178.3386169816495,1226.7962325667045,1250.2118043476623,1253.7746313826906
2/24/1999,1253,1253.5,1253,1253,1084.2607142857144,1136.14125,1179.523718299401,1227.732081403608,1250.465276679693,1253.6197051061524
2/25/1999,1241,1241.5,1241,1241.5,1085.0207142857143,1136.7875,1180.5074688025852,1228.2237927820506,1249.6502515269938,1251.1957640849218
2/26/1999,1241,1250.25,1227,1235.75,1085.7471428571428,1137.35625,1181.3843343771473,1228.4925858969773,1248.386592297267,1248.1066112679375
3/1/1999,1239.25,1239.75,1239.25,1239.25,1086.4607142857142,1137.9325,1182.3028370060815,1228.8767792577996,1247.5559929975154,1246.335289
3/2/1999,1228.5,1228.5,1228,1228,1087.162857142857,1138.475,1183.0281887996357,1228.8454657128782,1245.7781754522869,1242.6682312114801
3/3/1999,1233.5,1233.5,1233,1233.5,1087.892857142857,1139.08,1183.829328659959,1229.0116990802753,1244.6619776838972,1240.834584969184
3/4/1999,1233.25,1252.5,1230.5,1250.25,1088.6742857142858,1139.79,1184.8836250304357,1229.7702098274083,1245.169979712634,1242.7176679753472
3/5/1999,1250.5,1279.75,1249.75,1279.5,1089.5407142857143,1140.61,1186.3854722521748,1231.5462737621438,1248.290890647849,1250.0741343802779
3/8/1999,1283.5,1284.5,1283.5,1284.5,1090.4178571428572,1141.4125,1187.9428457084896,1233.4374782706386,1251.582627861681,1256.9593075042224
3/9/1999,1279.5,1279.5,1279,1279,1091.2907142857143,1142.21625,1189.3881973639104,1235.0647111895444,1254.0751162378917,1261.3674460033778
3/10/1999,1279.5,1290,1275.5,1289,1092.2314285714285,1143.09125,1190.9693370882928,1236.9909715042036,1257.2501056708106,1266.8939568027022
3/11/1999,1305.2,1305.2,1304.2,1304.5,1093.2478571428571,1144.14375,1192.7714111027644,1239.4020082361963,1261.5455506098278,1274.4151654421617
3/12/1999,1305.2,1309,1289.2,1291.2,1094.1877142857143,1145.11725,1194.333769656689,1241.251936513475,1264.241409645298,1277.7721323537294
3/15/1999,1319,1319,1318.75,1318.75,1095.157,1146.2072500000002,1196.3086304557892,1244.0197244951364,1269.196736,1285.9677058829834
3/16/1999,1318.5,1319,1318.25,1318.5,1096.1405714285715,1147.346,1198.248176,1246.6797343345959,1273.6788509465273,1292.4741647063868
3/17/1999,1310.5,1311.75,1310.5,1311.5,1097.1577142857143,1148.42725,1200.0458240040448,1248.9947438226461,1277.1171372241158,1296.2793317651094
3/18/1999,1310.25,1332.75,1302,1331.25,1098.2641428571428,1149.60475,1202.1284299722345,1251.932431543266,1282.038306567378,1303.2734654120875
3/19/1999,1330.75,1338,1307.75,1307.75,1099.5034285714287,1150.75225,1203.8049628298181,1253.9259161310065,1284.375733243071,1304.168772
3/22/1999,1308,1317,1305.5,1312,1100.6105714285716,1151.8235,1205.522344372202,1255.9999905548991,1286.8870302209737,1305.735017863736
3/23/1999,1309,1310,1267.5,1271.75,1101.6027142857142,1152.59475,1206.5735770012147,1256.562490892224,1285.5109365645214,1298.9380142909888
3/24/1999,1271,1281.25,1267.25,1280,1102.6798571428571,1153.40975,1207.7390757789733,1257.3995447889304,1285.0099423313832,1295.150411432791
3/25/1999,1283,1305,1281.75,1303.5,1103.7641428571428,1154.32975,1209.2590904491483,1259.0459896178972,1286.6908566648938,1296.8203291462328
3/26/1999,1302.25,1303.5,1287,1296.5,1104.7662857142857,1155.2472500000001,1210.6438667912253,1260.3836328458294,1287.5825969680852,1296.7562633169862
3/29/1999,1294.75,1324,1293,1316.75,1105.8262857142859,1156.371,1212.3280911278725,1262.3967173870499,1290.2341790618957,1300.755010653589
3/30/1999,1316.75,1321,1305.5,1314.75,1106.877,1157.44225,1213.9538357131444,1264.2664774803695,1292.4628900562689,1303.554008522871
3/31/1999,1315.25,1324.5,1292.5,1294,1107.882,1158.5435,1215.2244097494436,1265.3283889989277,1292.6026273238808,1301.643206818297
4/1/1999,1292.75,1305.25,1291,1303.75,1108.9462857142858,1159.56475,1216.6295778486588,1266.700589391823,1293.6160248398917,1302.0645654546374
4/5/1999,1332.75,1333,1331.75,1332,1110.1055714285715,1160.61475,1218.4608543907436,1269.032711199258,1297.1054771271743,1308.051652
4/6/1999,1329.75,1331.75,1329.75,1331.75,1111.2634285714287,1161.6835,1220.2590947972399,1271.2726143707132,1300.254979206522,1312.791321890968
4/7/1999,1338.25,1338.25,1335,1337,1112.4884285714286,1162.80725,1222.1121250385536,1273.6200210003306,1303.5954356422926,1317.6330575127745
4/8/1999,1355.5,1355.75,1354.25,1354.25,1113.7312857142858,1163.99475,1224.2095516252432,1276.4996631074616,1308.200396038448,1324.9564460102197
4/9/1999,1355.5,1363,1344.5,1358.25,1114.9477142857143,1165.136,1226.337177789922,1279.419317996481,1312.7503600349526,1331.6151568081757
4/12/1999,1371.25,1372,1370.5,1371,1116.1505714285715,1166.2635,1228.6334130630978,1282.6900566394638,1318.045781849957,1339.4921254465405
4/13/1999,1361,1362,1357,1358,1117.3377142857144,1167.336,1230.6868509509852,1285.3796974737686,1321.6779834999609,1343.1937003572325
4/14/1999,1338.5,1342,1338.5,1340.25,1118.459142857143,1168.2997500000001,1232.4259485549378,1287.3393511354197,1323.366348636328,1342.604960285786
4/15/1999,1332,1334.25,1331.25,1332.5,1119.5148571428572,1169.20475,1234.0144255620023,1288.9522314520118,1324.196681,1340.583968228629
4/16/1999,1332,1335.5,1317.5,1323,1120.5248571428572,1170.10475,1235.426894997526,1290.1682231858686,1324.0878914349819,1337.0671745829031
4/19/1999,1300.75,1301.25,1298.25,1300.25,1121.5262857142857,1170.8235,1236.4558331721685,1290.5282866435161,1321.9208103954381,1329.7037396663225
4/20/1999,1315,1316,1313.75,1314.25,1122.5620000000001,1171.60475,1237.6906612170546,1291.3754906919619,1321.2234639958529,1326.612991733058
4/21/1999,1352.75,1356.75,1352,1355.25,1123.7055714285714,1172.5335,1239.5566824675775,1293.6567231672489,1324.3167854507753,1332.3403933864463
4/22/1999,1368.75,1368.75,1366,1366.5,1124.8812857142857,1173.5297500000001,1241.571655761743,1296.2582687684185,1328.1516231370686,1339.172314709157
4/23/1999,1368.75,1372.75,1354.75,1365,1125.9827142857143,1174.47975,1243.530835829017,1298.7133305981179,1331.5014755791533,1344.3378517673257
4/26/1999,1371,1371.25,1368.5,1369.25,1127.1091428571428,1175.4885000000002,1245.5263781174453,1301.232497362471,1334.933159617412,1349.3202814138606
4/27/1999,1376.25,1376.75,1373.5,1374.75,1128.2441428571428,1176.49975,1247.5775467187557,1303.8581224566683,1338.5528723794655,1354.4062251310884
4/28/1999,1358.5,1359,1357,1357.5,1129.3312857142857,1177.4185,1249.3223475644897,1305.7739037975016,1340.2753385267868,1355.0249801048708
4/29/1999,1348,1351,1348,1351,1130.3727142857142,1178.24475,1250.9362785555295,1307.3891215190195,1341.2503077516244,1354.2199840838966
4/30/1999,1348,1359.75,1318.75,1337.75,1131.382,1179.016,1252.3142741340132,1308.473438607626,1340.9320979560223,1350.9259872671173
5/3/1999,1359,1360.5,1358.5,1359.75,1132.469857142857,1179.8585,1254.019603116013,1310.3047443716393,1342.6428163236567,1352.6907898136938
5/4/1999,1342,1342.25,1340.5,1341,1133.529142857143,1180.59475,1255.4002443363938,1311.4010035012236,1342.4934693851424,1350.352631850955
5/5/1999,1351.75,1352.75,1351,1351,1134.662,1181.38225,1256.9177007754986,1312.815253,1343.2667903501294,1350.482105480764
5/6/1999,1341.25,1342,1340.75,1342,1135.7662857142857,1182.2285000000002,1258.2682134616018,1313.857565755602,1343.1516275910267,1348.7856843846112
5/7/1999,1341.25,1353.75,1335,1351.25,1136.8434285714286,1183.12475,1259.7441148352273,1315.193009835759,1343.8878432645697,1349.278547507689
5/10/1999,1346.25,1346.75,1345.75,1346.5,1137.8891428571428,1184.11975,1261.1211923775252,1316.311116627339,1344.1253120586998,1348.722838006151
5/11/1999,1358.25,1359.75,1358.25,1359.5,1138.9862857142857,1185.17975,1262.6827607524851,1317.8535767477913,1345.5230109624545,1350.8782704049208
5/12/1999,1368.5,1370,1368,1369.5,1140.142,1186.261,1264.3782724865728,1319.6980918639415,1347.7027372385949,1354.6026163239367
5/13/1999,1374,1374.5,1373.75,1374,1141.332,1187.4535,1266.1182999074208,1321.6374457259435,1350.0933974896318,1358.4820930591493
5/14/1999,1374,1376,1336.5,1339.25,1142.4077142857143,1188.5035,1267.279120543811,1322.2664655214455,1349.1076340814834,1354.6356744473194
5/17/1999,1341.25,1341.25,1339,1339.75,1143.5355714285715,1189.47225,1268.4294519637504,1322.890877467108,1348.2569400740758,1351.6585395578554
5/18/1999,1339.5,1341.75,1338.75,1341.75,1144.6770000000001,1190.566,1269.593270186548,1323.5644175575685,1347.6654000673416,1349.6768316462844
5/19/1999,1349.25,1350.5,1349.25,1349.75,1145.8305714285714,1191.7272500000001,1270.8655992312058,1324.4996169305125,1347.8549091521288,1349.6914653170275
5/20/1999,1342.5,1343.75,1341.25,1343.75,1146.9105714285715,1193.076,1272.022494481504,1325.1871306115656,1347.4817355928444,1348.5031722536219
5/21/1999,1342.5,1345,1329.25,1334.75,1147.9262857142858,1194.30725,1273.018169172274,1325.5286616611527,1346.324305084404,1345.7525378028975
5/24/1999,1310,1312.25,1310,1311.75,1148.877,1195.4035000000001,1273.6329601377934,1325.0365666018258,1343.1811864403671,1338.952030242318
5/25/1999,1283.5,1285.25,1283.25,1285.25,1149.7355714285716,1196.356,1273.8173575959236,1323.6156177946177,1337.9147149457883,1328.2116241938543
5/26/1999,1283.5,1310.75,1280.5,1305.25,1150.644857142857,1197.43975,1274.3162884277342,1322.9597028733813,1334.9451954052622,1323.6192993550835
5/27/1999,1305.25,1308,1278,1285.25,1151.5427142857143,1198.511,1274.4898394050717,1321.6129277707605,1330.4274503684203,1315.9454394840668
5/28/1999,1286.25,1308,1284.25,1296.75,1152.4648571428572,1199.54225,1274.8431752875308,1320.7249660646619,1327.3658639712912,1312.1063515872534
6/1/1999,1298.75,1303,1282.5,1296,1153.4212857142857,1200.6435000000001,1275.1789979020145,1319.8419315623526,1324.5144217920829,1308.8850812698026
6/2/1999,1295.75,1299.25,1278,1296,1154.4684285714286,1201.81225,1275.509489998808,1318.9904340065543,1321.9222016291662,1306.3080650158422
6/3/1999,1296.75,1306.5,1292.5,1304.75,1155.4948571428572,1202.9135,1275.973625078192,1318.4818470777489,1320.361092390151,1305.9964520126737
6/4/1999,1304.75,1331,1295.5,1329.5,1156.5520000000001,1204.031,1276.823250076951,1318.8753525392578,1321.1919021728645,1310.697161610139
6/7/1999,1329,1339,1327,1332,1157.6055714285715,1205.17725,1277.699071504301,1319.3440899485702,1322.174456520786,1314.957729288111
6/8/1999,1332.5,1335,1314.25,1320.25,1158.6491428571428,1206.306,1278.3744830677247,1319.3764438789783,1321.9995059279872,1316.0161834304888
6/9/1999,1320.5,1327.5,1315.5,1318.5,1159.6491428571428,1207.46475,1279.0113960349036,1319.345142311872,1321.681369025443,1316.512946744391
6/10/1999,1319,1319.75,1293.25,1306.5,1160.567,1208.531,1279.4477230819687,1318.8863872293052,1320.3012445685845,1314.5103573955128
6/11/1999,1305.75,1314.25,1288.25,1294.5,1161.4784285714286,1209.526,1279.6866481124136,1318.0154448282585,1317.9556768805314,1310.5082859164102
6/14/1999,1294.5,1308.5,1292.5,1295.5,1162.4191428571428,1210.56475,1279.937653697931,1317.2113217986778,1315.914251709574,1307.506628733128
6/15/1999,1309.5,1325.5,1306.75,1318.25,1163.4298571428571,1211.976,1280.5457861789162,1317.248417448725,1316.1265924632492,1309.6553029865024
6/16/1999,1318.25,1347.25,1318,1343,1164.5141428571428,1213.536,1281.537122906235,1318.1681168255561,1318.5696295120447,1316.324242389202
6/17/1999,1342.75,1358,1336,1355.75,1165.6055714285715,1215.54475,1282.7151050823265,1319.5103269389292,1321.949663192768,1324.2093939113615
6/18/1999,1354.5,1362.5,1346.75,1356.75,1166.6762857142858,1217.3310000000001,1283.8902621445118,1320.840315262539,1325.1133301752436,1330.7175151290892
6/21/1999,1355.5,1364.5,1349.5,1360,1167.742,1219.17725,1285.098353221583,1322.238875431734,1328.284845613858,1336.5740121032713
6/22/1999,1360,1364.5,1348,1349.75,1168.7762857142857,1220.9985000000001,1286.1245698371135,1323.2214155948864,1330.2362232853254,1339.209209682617
6/23/1999,1349.25,1350.5,1335.75,1342,1169.742,1222.8285,1287.0114814270007,1323.8920793236405,1331.305657532114,1339.7673677460937
6/24/1999,1342.25,1345.75,1319,1333.25,1170.6634285714285,1224.35725,1287.7454261662547,1324.2262907763677,1331.4824159382856,1338.463894196875
6/25/1999,1332.25,1342,1324.25,1329.5,1171.577,1225.98975,1288.4081971794888,1324.4146375343546,1331.3021963075323,1336.671115
6/28/1999,1329.75,1346.75,1329.5,1344,1172.5327142857143,1227.8622500000001,1289.2906067480683,1325.1141147652704,1332.4565420977567,1338.136892
6/29/1999,1343.5,1362.5,1339.25,1357.25,1173.5005714285714,1229.5822500000002,1290.3693272758767,1326.261824952225,1334.7104928161425,1341.959514
6/30/1999,1357,1386.5,1349.5,1381.5,1174.5477142857144,1231.3385,1291.8158458905452,1328.234616918217,1338.9640843783113,1349.867611
7/1/1999,1381.75,1395.5,1372,1392.5,1175.5998571428572,1233.0685,1293.4140070668857,1330.5298091711377,1343.8309857984648,1358.394088850432
7/2/1999,1390.25,1403.5,1384.25,1401.25,1176.6784285714286,1234.7835,1295.1256894943954,1333.0555302721684,1349.0508961804226,1366.9652710803455
7/6/1999,1409,1417.25,1400.75,1411.25,1177.777,1236.69225,1296.968932518294,1335.8481899053052,1354.7053601640205,1375.8222168642765
7/7/1999,1403.5,1405,1395.25,1399.75,1178.8555714285715,1238.536,1298.6003780338765,1338.130397408687,1358.8003274218368,1380.607773491421
7/8/1999,1406,1415.75,1395.75,1405,1179.934142857143,1240.4085,1300.2892609222276,1340.518597501234,1363.0002976562153,1385.486218793137
7/9/1999,1404.25,1413.25,1403.5,1411,1181.0077142857144,1242.266,1302.0465742409224,1343.0357904476184,1367.3639069601957,1390.5889750345095
7/12/1999,1414.25,1417.75,1404.5,1408.75,1182.0877142857144,1243.921,1303.7402794117013,1345.3827265030607,1371.1262790547232,1394.2211800276077
7/13/1999,1406.25,1407,1396.25,1399.25,1183.1212857142857,1245.6485,1305.2563067226267,1347.306558,1373.6829809588394,1395.2269440220862
7/14/1999,1403,1417,1395.75,1406.5,1184.1648571428573,1247.4260000000002,1306.8633494730611,1349.4206092101163,1376.6663463262175,1397.481555217669
7/15/1999,1409.25,1421.5,1407.75,1419.75,1185.2677142857144,1249.2085,1308.655201068727,1351.9323731668978,1380.5830421147432,1401.9352441741353
7/16/1999,1419.5,1428.25,1415.75,1426,1186.354857142857,1251.0510000000002,1310.5178169247788,1354.5776455537944,1384.7118564679483,1406.7481953393083
7/19/1999,1427.5,1431.75,1413.75,1414,1187.3891428571428,1252.991,1312.1603912593062,1356.6998724983016,1387.374414970862,1408.1985562714467
7/20/1999,1417,1418.5,1386.25,1388.5,1188.354857142857,1254.95975,1313.372131080587,1357.8355913376479,1387.476740882602,1404.2588450171575
7/21/1999,1388.75,1395.5,1380.25,1383.5,1189.3077142857144,1256.81225,1314.4852718570855,1358.7521773613032,1387.1152189841835,1400.1070760137259
7/22/1999,1384.25,1386,1361.25,1367.75,1190.1998571428571,1258.6785,1315.330744,1359.073528169828,1385.3547445310758,1393.6356608109807
7/23/1999,1367.5,1377.75,1358.5,1361,1191.094142857143,1260.51225,1316.0556525620148,1359.1423307351913,1383.1406768464326,1387.1085286487846
7/26/1999,1362.75,1367.5,1352.75,1359,1192.009142857143,1262.41225,1316.7373088705542,1359.1372474946488,1380.9460698603932,1381.4868229190276
7/27/1999,1356.25,1374.75,1356.25,1372.5,1192.9098571428572,1264.4285,1317.622430951974,1359.6144886555542,1380.1782453276303,1379.689458335222
7/28/1999,1365,1378.5,1361.75,1373,1193.8212857142858,1266.336,1318.5014399844822,1360.0925426321414,1379.525677570573,1378.3515666681776
7/29/1999,1367.5,1368,1338.25,1345.25,1194.622,1268.036,1318.9260203021888,1359.5624518238506,1376.4097068823392,1371.731253334542
7/30/1999,1348,1358.25,1335.75,1339.5,1195.3962857142858,1269.7185,1319.2525914085033,1358.8459356872845,1373.0542789839446,1365.2850026676338
8/2/1999,1332.5,1354,1325.5,1345.5,1196.1762857142858,1271.39225,1319.6692169417017,1358.3692951270243,1370.5493445308587,1361.328002134107
8/3/1999,1336.25,1343.25,1320.25,1326.25,1196.9098571428572,1272.7035,1319.773673815643,1357.2221774439163,1366.5221313916898,1354.3124017072855
8/4/1999,1327.25,1337.25,1318.5,1325.75,1197.612,1274.001,1319.8685361360297,1356.0981711066336,1362.8155739924453,1348.5999213658283
8/5/1999,1313.25,1318,1291.5,1316.5,1198.247,1275.236,1319.8150673084735,1354.683950709968,1358.6050672658594,1342.1799370926626
